# Constructed from biom file
#OTU ID	ERR475473_CRC_control	ERR3928970_CRC_case
DQ796020.1.1304	0	13
DQ800020.1.1393	0	13
EF404788.1.1485	13	0
ET530381.1.1295	0	13
ET765941.1.1362	0	13
FJ364383.1.1350	0	13
FQSB01000010.297.1804	0	13
GQ492846.1.1366	13	0
ET767216.1.1327	0	12
FJ369308.1.1240	0	12
HK694993.1.1204	0	12
JQ467834.1.1286	0	12
DQ803925.1.1280	11	0
DQ807948.1.1306	0	11
ET766029.1.1343	11	0
FJ372023.1.1257	0	11
FJ681680.1.1440	0	11
FPLO01007601.10.1524	11	0
JQ189812.1.1355	0	11
JQ190528.1.1356	11	0
DQ326564.1.1352	10	0
DQ793420.1.1289	10	0
FJ366013.1.1355	10	0
FJ367045.1.1321	10	0
GQ897435.1.1479	10	0
KF100217.1.1350	10	0
KF841967.1.1371	10	0
ACCF01000268.3369.4627	9	0
DQ325766.1.1353	4	5
FJ366187.1.1362	9	0
FJ366441.1.1355	9	0
FJ366515.1.1264	0	9
FJ368864.1.1363	9	0
HK694678.1.1344	0	9
KF096013.1.1247	0	9
KF945090.1.1201	0	9
DQ797221.1.1330	8	0
EF402384.1.1486	8	0
ET778354.1.1387	8	0
FJ432294.1.1202	8	0
FJ510998.1.1379	8	0
KP644774.1.1203	0	8
AY916278.1.1340	0	7
DQ793777.1.1289	7	0
DQ794648.1.1290	0	7
DQ804905.1.1307	7	0
ET469121.1.1263	7	0
ET767240.1.1347	0	7
ET774298.1.1291	7	0
FJ032586.1.1226	7	0
FJ366026.1.1358	0	7
JQ183790.1.1371	0	7
DQ326493.1.1337	6	0
DQ793530.1.1296	0	6
DQ797091.1.1361	0	6
DQ824055.1.1388	0	6
FJ674156.1.1404	6	0
CEAC01041217.2431.3934	0	5
DQ801024.1.1288	0	5
ET460122.1.1346	0	5
DQ801561.1.1347	4	0
FJ366863.1.1336	0	4
FPLO01006659.1.1491	4	0
GQ003913.1.1349	0	4
KF089451.1.1359	0	4
FJ366425.1.1355	3	0
FJ557765.1.1386	3	0
FNWE01000002.1073068.1074570	0	3
GQ014650.1.1368	0	3
CP013131.465857.467278	0	2
JQ190321.1.1359	0	2
MNQJ01000155.1819.3121	0	2
